# Captured 2020-02-08
# rtings.com list of all headphones.
# used in project deltaEQ

1More Piston Classic|headphones/1more/piston-classic
1More Piston Fit|headphones/1more/piston-fit
1More Triple Driver In-Ear|headphones/1more/triple-driver-in-ear
1More Quad Driver In-Ear|headphones/1more/quad-driver-in-ear
AKG K44|headphones/akg/k44
AKG K240 MKII|headphones/akg/k240-mkii
AKG K391-NC|headphones/akg/k391-nc
AKG K490-NC|headphones/akg/k490-nc
AKG K701|headphones/akg/k701
AKG K702|headphones/akg/k702
AKG K712 PRO|headphones/akg/k712-pro
AKG Q701|headphones/akg/q701
AKG N60NC Wireless|headphones/akg/n60nc-wireless
AKG N200|headphones/akg/n200
AKG N700NC|headphones/akg/n700nc
AKG K371|headphones/akg/k371
AUKEY Latitude |headphones/aukey/latitude
AfterShokz Trekz Air|headphones/aftershokz/trekz-air
AfterShokz Aeropex|headphones/aftershokz/aeropex
Altec Lansing True Evo|headphones/altec-lansing/true-evo
Amazon Echo Buds|headphones/amazon/echo-buds
AmazonBasics Lightweight On Ear|headphones/amazonbasics/lightweight-on-ear
Anker SoundBuds Sport|headphones/anker/soundbuds-sport
Anker SoundBuds Curve	|headphones/anker/soundbuds-curve
Anker Soundcore Spirit X|headphones/anker/soundcore-spirit-x
Anker SoundBuds Life|headphones/anker/soundbuds-life
Anker SoundCore Liberty Air|headphones/anker/soundcore-liberty-air
Anker SoundCore Liberty Air 2|headphones/anker/soundcore-liberty-air-2
Anker SoundCore Space NC|headphones/anker/soundcore-space-nc
Anker SoundCore Liberty Lite|headphones/anker/soundcore-liberty-lite
Anker SoundCore Life 2|headphones/anker/soundcore-life-2
Anker Zolo Liberty+|headphones/anker/zolo-liberty
Anker SoundCore Life P2|headphones/anker/soundcore-life-p2
Anker Soundcore Liberty 2 Pro|headphones/anker/soundcore-liberty-2-pro
Anker SoundBuds Curve Upgraded 2019|headphones/anker/soundbuds-curve-upgraded-2019
Apple AirPods|headphones/apple/airpods
Apple AirPods 2 2019|headphones/apple/airpods-2-2019
Apple AirPods Pro|headphones/apple/airpods-pro
Apple EarPods|headphones/apple/earpods
Astro A50|headphones/astro/a50
Astro A50 Gen 4 2019|headphones/astro/a50-gen-4-2019
Astro A10|headphones/astro/a10
Astro A20|headphones/astro/a20
Astro A40|headphones/astro/a40
Astro A40 2019|headphones/astro/a40-2019
Audeze Mobius|headphones/audeze/mobius
Audeze LCD-1|headphones/audeze/lcd-1
Audeze LCD2-Classic|headphones/audeze/lcd2-classic
Audio-Technica ATH-AD700X|headphones/audio-technica/ath-ad700x
Audio-Technica ATH-ANC7b|headphones/audio-technica/ath-anc7b
Audio-Technica ATH-ANC7B SVIS|headphones/audio-technica/ath-anc7b-svis
Audio-Technica ATH-ANC9|headphones/audio-technica/ath-anc9
Audio-Technica ATH-ANC23|headphones/audio-technica/ath-anc23
Audio-Technica ATH-ANC27x|headphones/audio-technica/ath-anc27x
Audio-Technica ATH-ANC29 |headphones/audio-technica/ath-anc29
Audio-Technica ATH-ANC33iS|headphones/audio-technica/ath-anc33is
Audio-Technica ATH-ANC70|headphones/audio-technica/ath-anc70
Audio-Technica ATH-M20x|headphones/audio-technica/ath-m20x
Audio-Technica ATH-M30x|headphones/audio-technica/ath-m30x
Audio-Technica ATH-M40x|headphones/audio-technica/ath-m40x
Audio-Technica ATH-M50x|headphones/audio-technica/ath-m50x
Audio-Technica ATH-M70x|headphones/audio-technica/ath-m70x
Audio-Technica ATH-MSR7NC|headphones/audio-technica/ath-msr7nc
Audio-Technica ATH-M60x|headphones/audio-technica/ath-m60x
Audio-Technica ATH-M50xBT|headphones/audio-technica/ath-m50xbt
Audio-Technica ATH-DSR9BT|headphones/audio-technica/ath-dsr9bt
B&O PLAY Earset 3i|headphones/b-o-play/earset-3i
B&O PLAY H6|headphones/b-o-play/h6
B&O PLAY E8|headphones/b-o-play/e8
B&O PLAY H9|headphones/b-o-play/h9
B&O PLAY H9i|headphones/b-o-play/h9i
B&O PLAY Earset Wireless|headphones/b-o-play/earset-wireless
B&O PLAY E8 2.0|headphones/b-o-play/e8-2-0
BGVP DM6|headphones/bgvp/dm6
BRAINWAVZ HM5|headphones/brainwavz/hm5
Beats BeatsX|headphones/beats/beatsx
Beats Powerbeats 2 Wireless|headphones/beats/powerbeats-2-wireless
Beats Executive|headphones/beats/executive
Beats EP On-Ear|headphones/beats/ep-on-ear
Beats Solo2 Wireless|headphones/beats/solo2-wireless
Beats Solo3 Wireless|headphones/beats/solo3-wireless
Beats Studio Wireless|headphones/beats/studio-wireless
Beats urBeats|headphones/beats/urbeats
Beats urBeats3|headphones/beats/urbeats3
Beats Studio3 Wireless|headphones/beats/studio3-wireless
Beats Powerbeats3 Wireless|headphones/beats/powerbeats3-wireless
Beats Powerbeats Pro|headphones/beats/powerbeats-pro
Beats Solo Pro|headphones/beats/solo-pro
Betron YSM1000|headphones/betron/ysm1000
Beyerdynamic DT 770 Pro|headphones/beyerdynamic/dt-770-pro
Beyerdynamic DT 880|headphones/beyerdynamic/dt-880
Beyerdynamic DT 990 PRO|headphones/beyerdynamic/dt-990-pro
Beyerdynamic DT 1990 PRO|headphones/beyerdynamic/dt-1990-pro
Beyerdynamic DT 1770 PRO|headphones/beyerdynamic/dt-1770-pro
Beyerdynamic T1 2nd Generation|headphones/beyerdynamic/t1-2nd-generation
Bluedio T2S Turbine|headphones/bluedio/t2s-turbine
Bluedio T3 Plus|headphones/bluedio/t3-plus
Bluedio T4|headphones/bluedio/t4
Bluedio U Plus|headphones/bluedio/u-plus
Bose QuietComfort 20|headphones/bose/quietcomfort-20
Bose QuietComfort 25|headphones/bose/quietcomfort-25
Bose QuietComfort 35|headphones/bose/quietcomfort-35
Bose QuietControl 30|headphones/bose/quietcontrol-30
Bose SoundLink Around-Ear II|headphones/bose/soundlink-around-ear-ii
Bose SoundLink On-Ear|headphones/bose/soundlink-on-ear
Bose SoundSport In-Ear|headphones/bose/soundsport-in-ear
Bose SoundSport Wireless|headphones/bose/soundsport-wireless
Bose SoundTrue Around-Ear II|headphones/bose/soundtrue-around-ear-ii
Bose SoundTrue Ultra In-Ear|headphones/bose/soundtrue-ultra-in-ear
Bose SoundSport Free|headphones/bose/soundsport-free
Bose QuietComfort 35 II|headphones/bose/quietcomfort-35-ii
Bose SoundWear|headphones/bose/soundwear
Bose Hearphones|headphones/bose/hearphones
Bose Noise Cancelling Headphones 700|headphones/bose/noise-cancelling-headphones-700
Bowers & Wilkins P5 S2|headphones/bowers-wilkins/p5-s2
Bowers & Wilkins P5 Wireless|headphones/bowers-wilkins/p5-wireless
Bowers & Wilkins P7|headphones/bowers-wilkins/p7
Bowers & Wilkins PX|headphones/bowers-wilkins/px
Bowers & Wilkins PX7|headphones/bowers-wilkins/px7
BÖHM B-66|headphones/bohm/b-66
Cambridge Audio Melomania 1|headphones/cambridge-audio/melomania-1
Corsair Void RGB|headphones/corsair/void-rgb
Corsair HS60|headphones/corsair/hs60
Corsair HS70 Wireless|headphones/corsair/hs70-wireless
Corsair HS50|headphones/corsair/hs50
Corsair Virtuoso RGB Wireless|headphones/corsair/virtuoso-rgb-wireless
Cougar Immersa|headphones/cougar/immersa
Cowin E7|headphones/cowin/e7
Cowin E7 Pro|headphones/cowin/e7-pro
Cowin E8|headphones/cowin/e8
Cowin SE7|headphones/cowin/se7
Creative Aurvana Gold|headphones/creative/aurvana-gold
Creative Aurvana Platinum|headphones/creative/aurvana-platinum
Creative HN-900|headphones/creative/hn-900
Creative Sound Blaster EVO ZxR|headphones/creative/sound-blaster-evo-zxr
Creative Sound BlasterX H5|headphones/creative/sound-blasterx-h5
Creative SXFI Air|headphones/creative/sxfi-air
Creative Outlier Air|headphones/creative/outlier-air
Denon AHGC20|headphones/denon/ahgc20
